n_samples,method,silhouette,db,kl_divergence,time,experiment
1000,kmeans_fast,0.6284788540191084,0.5408934360902774,0.2758357141161767,0.015885114669799805,1
1000,kmeans_accurate,0.6284788540191084,0.5408934360902774,0.2758357141161767,0.027113914489746094,1
1000,true,-0.04118209196898453,247.46828697689241,,,1
1000,initial,,,8.250995374534988,,1
1000,cmeans_fast,0.616499796591258,0.5681809911757068,0.09306552246954934,0.004806995391845703,1
1000,cmeans_accurate,0.616499796591258,0.5681809911757066,0.09305932007862314,0.017094135284423828,1
1000,true,-0.02875402013809095,73.54110514048811,,,2
1000,initial,,,9.452349890486653,,2
1000,kmeans_fast,0.6364852254309797,0.5166028036531806,0.11125810018367896,0.014578104019165039,2
1000,kmeans_accurate,0.6351774924786919,0.5210144645699089,0.11047376769250036,0.026097774505615234,2
1000,true,-0.030864881828331903,22.22299712383874,,,2
1000,initial,,,14.947930522072513,,2
1000,cmeans_fast,0.5975820557061842,0.5563804058106029,0.2663372450028449,0.00599217414855957,2
1000,cmeans_accurate,0.5974735916550263,0.5562589497136986,0.2663549340800783,0.01697397232055664,2
1000,true,-0.03495331543990519,24.129033432906454,,,3
1000,initial,,,11.639736875201653,,3
1000,kmeans_fast,0.6423080107444707,0.5089959817068986,0.11316447091153367,0.011963844299316406,3
1000,kmeans_accurate,0.6409254893746822,0.5115419734123486,0.11377514002826172,0.0248258113861084,3
1000,true,-0.04287490298390589,23.721112209369082,,,3
1000,initial,,,1.3143513754813123,,3
1000,cmeans_fast,0.6247242401142157,0.5187585317879075,0.09456559804187108,0.005258083343505859,3
1000,cmeans_accurate,0.6247242401142157,0.5187585317879075,0.09457628788008286,0.01708388328552246,3
1000,true,-0.035376947494503874,27.750803985712963,,,4
1000,initial,,,0.9928161519432759,,4
1000,kmeans_fast,0.6280636810562462,0.5086730321735192,0.11036246175590148,0.014166831970214844,4
1000,kmeans_accurate,0.6280636810562462,0.5086730321735192,0.11036246175590148,0.027734994888305664,4
1000,true,-0.052842604349915605,13.892305272557584,,,4
1000,initial,,,11.206655186972315,,4
1000,cmeans_fast,0.6111496820651766,0.5134557534104305,0.10220619117288272,0.003793954849243164,4
1000,cmeans_accurate,0.6113643048244171,0.5131320126384223,0.10220335771400217,0.015368938446044922,4
